Phase	Match No.	Match	Team	No.	Name	7mGoals	7mMissed	6mGoals	6mMissed	WingGoals	WingMissed	BTGoals	BTMissed	FBGoals	FBMissed	EGGoals	EGMissed	9mGoals	9mMissed	TF	YC	RC	BC	2Min	AS	ST	BS	Time	scoring	prod100
Group Phase	01	EGY-CHI	EGY	5	OMAR Yahia	0	0	2	0	0	0	1	1	0	0	0	0	1	3	3	0	0	0	2	4	1	0	47,58333333	1,75	3,677758319
Group Phase	01	EGY-CHI	EGY	11	MOAMEN Ahmed	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24,03333333	-0,4	-1,664355062
Group Phase	01	EGY-CHI	EGY	15	HESHAM Ahmed	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	20,55	-2,25	-10,94890511
Group Phase	01	EGY-CHI	EGY	24	ELMASRY Ibrahim	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	29,8	2,8	9,395973154
Group Phase	01	EGY-CHI	EGY	25	NAWAR Wisam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,25	0	0
Group Phase	01	EGY-CHI	EGY	31	ELWAKIL Omar	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	6,666666667
Group Phase	01	EGY-CHI	EGY	39	ELDERAA Yehia	0	0	2	0	0	0	1	0	2	0	0	0	1	0	1	1	0	0	0	6	0	0	43,41666667	10,8	24,87523992
Group Phase	01	EGY-CHI	EGY	42	KADDAH Hassan	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	10,43333333	-1,3	-12,4600639
Group Phase	01	EGY-CHI	EGY	45	ELDERAA Seif	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	6,983333333	2	28,63961814
Group Phase	01	EGY-CHI	EGY	53	YOUSRI Akram	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	30	5,5	18,33333333
Group Phase	01	EGY-CHI	EGY	55	RAMADAN Mohsen	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	17,23333333	-0,3	-1,740812379
Group Phase	01	EGY-CHI	EGY	88	HENDAWY Karim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,83333333	0	0
Group Phase	01	EGY-CHI	EGY	89	MAMDOUH Mohamed	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	20,75	3	14,45783133
Group Phase	01	EGY-CHI	EGY	90	ZEIN Ali	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	3	2	1	45,33333333	6,15	13,56617647
Group Phase	01	EGY-CHI	EGY	91	SANAD Mohammad	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	29,3	2,75	9,385665529
Group Phase	01	EGY-CHI	EGY	96	ELTAYAR Mohamed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,5	0	0
Group Phase	01	EGY-CHI	CHI	1	BARRIENTOS Felipe	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14,88333333	1	6,718924972
Group Phase	01	EGY-CHI	CHI	2	CEBALLOS Sebastian	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	52,78333333	-2,1	-3,978528576
Group Phase	01	EGY-CHI	CHI	4	FEUCHTMANN Erwin	1	0	1	1	0	0	1	0	3	0	0	0	1	2	2	1	0	0	1	3	2	1	54,38333333	7,85	14,43456941
Group Phase	01	EGY-CHI	CHI	7	REYES Diego	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4,483333333	1,2	26,76579926
Group Phase	01	EGY-CHI	CHI	9	FRELIJJ Javier	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	26,63333333	-1,4	-5,256570713
Group Phase	01	EGY-CHI	CHI	10	FEUCHTMANN Emil	0	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	24,6	-0,15	-0,609756098
Group Phase	01	EGY-CHI	CHI	11	SALINAS Esteban	0	0	7	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	0	0	44,96666667	4,95	11,00815419
Group Phase	01	EGY-CHI	CHI	12	GARCIA Felipe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29,4	0	0
Group Phase	01	EGY-CHI	CHI	16	GONZALEZ Vicente	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,866666667	0	0
Group Phase	01	EGY-CHI	CHI	17	SALINAS Rodrigo	0	1	0	0	0	0	1	0	1	0	1	0	2	1	6	0	0	0	0	7	2	0	60	6,7	11,16666667
Group Phase	01	EGY-CHI	CHI	20	PAVEZ Sebastian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15,05	0	0
Group Phase	01	EGY-CHI	CHI	21	FEUCHTMANN Harald	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,65	-1,4	-30,10752688
Group Phase	01	EGY-CHI	CHI	23	CALLEJA Benjamin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	01	EGY-CHI	CHI	29	ONETO Marco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10,41666667	0,85	8,16
Group Phase	01	EGY-CHI	CHI	30	AYALA Daniel	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	43,53333333	-1,05	-2,41194487
Group Phase	01	EGY-CHI	CHI	77	DONOSO Victor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	29,35	-1,6	-5,451448041
Group Phase	02	SWE-MKD	SWE	2	CARLSBOGARD Jonathan	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	7	0	0	40	6,4	16
Group Phase	02	SWE-MKD	SWE	5	DARJ Max	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	0	46,95	5,05	10,75612354
Group Phase	02	SWE-MKD	SWE	8	JONSSON Alfred	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2,3	1,1	47,82608696
Group Phase	02	SWE-MKD	SWE	11	PETTERSSON Daniel	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	49,43333333	-0,4	-0,8091706
Group Phase	02	SWE-MKD	SWE	12	PALICKA Andreas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50,53333333	-0,8	-1,583113456
Group Phase	02	SWE-MKD	SWE	15	WANNE Hampus	2	1	1	0	5	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	57,28333333	7,5	13,0928135
Group Phase	02	SWE-MKD	SWE	16	AGGEFORS Mikael	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8,516666667	0,85	9,980430528
Group Phase	02	SWE-MKD	SWE	18	PETTERSSON Fredric	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	29,65	2,7	9,10623946
Group Phase	02	SWE-MKD	SWE	19	CLAAR Felix	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	16,56666667	1,25	7,54527163
Group Phase	02	SWE-MKD	SWE	22	PELLAS Lucas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	02	SWE-MKD	SWE	24	GOTTFRIDSSON Jim	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	6	0	0	44,98333333	6,85	15,22786217
Group Phase	02	SWE-MKD	SWE	26	PERSSON Linus	0	0	1	1	0	0	1	0	4	0	0	0	0	1	1	0	0	0	1	2	1	0	35,46666667	5,45	15,36654135
Group Phase	02	SWE-MKD	SWE	27	SUNNEFELDT Oskar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3,1	-0,8	-25,80645161
Group Phase	02	SWE-MKD	SWE	28	EDVARDSSON Jonathan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	02	SWE-MKD	SWE	33	SANDELL Lukas	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	25,96666667	1,05	4,0436457
Group Phase	02	SWE-MKD	SWE	62	CHRINTZ Valter	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9,25	1	10,81081081
Group Phase	02	SWE-MKD	MKD	1	MITREVSKI Nikola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37,53333333	0	0
Group Phase	02	SWE-MKD	MKD	4	VELKOVSKI Martin	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	0	29,76666667	2,5	8,398656215
Group Phase	02	SWE-MKD	MKD	5	STOILOV Stojanche	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	35,86666667	-0,3	-0,836431227
Group Phase	02	SWE-MKD	MKD	6	DIMITRIOSKI Dimitar	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13,36666667	-1,5	-11,22194514
Group Phase	02	SWE-MKD	MKD	7	LAZAROV Kiril	3	1	0	0	0	0	0	0	0	0	0	0	2	4	3	0	0	0	0	5	0	0	23,48333333	3,55	15,11710433
Group Phase	02	SWE-MKD	MKD	8	KUZMANOSKI Cvetan	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	43,25	0,2	0,462427746
Group Phase	02	SWE-MKD	MKD	11	TALESKI Filip	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	1	0	36,43333333	-3	-8,234217749
Group Phase	02	SWE-MKD	MKD	12	TOMOVSKI Martin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,5	0	0
Group Phase	02	SWE-MKD	MKD	17	MARKOSKI Nikola	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20,28333333	1	4,930156122
Group Phase	02	SWE-MKD	MKD	18	KUZMANOVSKI Filip	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	3	0	0	43,1	-0,4	-0,928074246
Group Phase	02	SWE-MKD	MKD	19	KOSTESKI Nenad	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	31,06666667	3,65	11,74892704
Group Phase	02	SWE-MKD	MKD	21	TANKOSKI Mario	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	16,1	0,45	2,795031056
Group Phase	02	SWE-MKD	MKD	28	POPOVSKI Martin	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25,06666667	0,5	1,994680851
Group Phase	02	SWE-MKD	MKD	29	GEORGIEVSKI Darko	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5,266666667	-0,55	-10,44303797
Group Phase	02	SWE-MKD	MKD	33	PESHEVSKI Zharko	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	21,13333333	2,05	9,700315457
Group Phase	02	SWE-MKD	MKD	97	MISHEVSKI Marko	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	18,78333333	-1,5	-7,985803017
Group Phase	03	ALG-MAR	ALG	2	NAIM Zohir	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,066666667	-1,3	-21,42857143
Group Phase	03	ALG-MAR	ALG	4	HELLAL Nouredine	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	18,7	-1,05	-5,614973262
Group Phase	03	ALG-MAR	ALG	6	BERKOUS Messaoud	0	2	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	22,58333333	-4,65	-20,5904059
Group Phase	03	ALG-MAR	ALG	7	HICHEM Daoud	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	1	2	0	37,93333333	2,25	5,931458699
Group Phase	03	ALG-MAR	ALG	12	BENMENNI Abdellah	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,45	0	0
Group Phase	03	ALG-MAR	ALG	13	CHEHBOUR Riad	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	33,7	0,2	0,59347181
Group Phase	03	ALG-MAR	ALG	15	SAKER Redouane	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33,41666667	-1,5	-4,488778055
Group Phase	03	ALG-MAR	ALG	18	KAABECHE Hichem	0	0	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	56,75	-1,9	-3,348017621
Group Phase	03	ALG-MAR	ALG	19	ENSAAD Oqba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21,95	0	0
Group Phase	03	ALG-MAR	ALG	21	BOUDJENAH Oussem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,4	0	0
Group Phase	03	ALG-MAR	ALG	22	GHEDBANE Khalifa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	39,25	-0,7	-1,78343949
Group Phase	03	ALG-MAR	ALG	23	ABDERAHIM Berriah	0	0	1	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	1	0	0	18,2	1,05	5,769230769
Group Phase	03	ALG-MAR	ALG	36	ABDELKADER Rahim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13,15	0	0
Group Phase	03	ALG-MAR	ALG	44	HADJ SADOK Moustapha	1	0	0	0	0	0	1	0	0	0	0	0	0	2	4	0	0	0	0	2	2	0	35,78333333	0,6	1,676758267
Group Phase	03	ALG-MAR	ALG	77	ARIB Reda	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	17,2	-0,3	-1,744186047
Group Phase	03	ALG-MAR	ALG	87	AYOUB Abdi	0	0	3	0	1	0	1	1	0	0	0	0	2	3	2	0	0	0	1	4	1	0	39,46666667	6,85	17,35641892
Group Phase	03	ALG-MAR	MAR	1	IDRISSI Yassine	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	54,38333333	1,05	1,930738584
Group Phase	03	ALG-MAR	MAR	7	REIDA Rezzouki	4	0	0	0	1	1	0	0	0	0	0	0	1	1	2	0	0	0	1	1	2	0	56,5	5,1	9,026548673
Group Phase	03	ALG-MAR	MAR	8	BENTALEB Mohamed Amine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4,75	-2	-42,10526316
Group Phase	03	ALG-MAR	MAR	10	ZAROILI Mohamed	0	0	0	0	1	2	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	56,43333333	2,85	5,050206734
Group Phase	03	ALG-MAR	MAR	12	LAAROUSSI Alae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,433333333	0	0
Group Phase	03	ALG-MAR	MAR	13	HAKIMI Hicham	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	25,81666667	-2,4	-9,296320207
Group Phase	03	ALG-MAR	MAR	18	BELLIMAM Lahcen	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	35,75	-1,35	-3,776223776
Group Phase	03	ALG-MAR	MAR	21	FOUGANI Nacym Hamed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	03	ALG-MAR	MAR	24	EZZINE Mohammed	0	0	0	1	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	1	0	35,96666667	3,35	9,314179796
Group Phase	03	ALG-MAR	MAR	46	HARCHAOUI Amine	0	0	0	0	0	0	1	1	1	0	0	0	1	2	8	0	0	0	0	7	1	1	55,36666667	2,45	4,425045154
Group Phase	03	ALG-MAR	MAR	91	ADLI Achraf	0	0	3	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	32,61666667	0,2	0,613183444
Group Phase	03	ALG-MAR	MAR	92	EL KACHRADI Hassan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0,8	-inf
Group Phase	03	ALG-MAR	MAR	93	LAKBI Ryad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	03	ALG-MAR	MAR	94	ISMAILI  ALAOUI Mehdi	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	26,55	-2,2	-8,286252354
Group Phase	03	ALG-MAR	MAR	97	EL MALKI Said	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,516666667	0	0
Group Phase	03	ALG-MAR	MAR	99	SLASSI Nabil	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	31,91666667	2,65	8,302872063
Group Phase	04	POR-ISL	POR	1	QUINTANA Alfredo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56,95	0	0
Group Phase	04	POR-ISL	POR	4	PORTELA Pedro	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	48,71666667	7,45	15,2925077
Group Phase	04	POR-ISL	POR	5	DUARTE Gilberto	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	2	33,95	-0,7	-2,06185567
Group Phase	04	POR-ISL	POR	8	ITURRIZA Victor	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	41,35	2,9	7,013301088
Group Phase	04	POR-ISL	POR	9	FERRAZ Joao	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	13,75	-1,55	-11,27272727
Group Phase	04	POR-ISL	POR	10	MARTINS Miguel	0	0	2	0	0	0	3	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	17,26666667	6,65	38,51351351
Group Phase	04	POR-ISL	POR	11	MOREIRA Belone	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	15,1	-0,2	-1,324503311
Group Phase	04	POR-ISL	POR	14	SILVA Rui	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	15,88333333	0,95	5,981112277
Group Phase	04	POR-ISL	POR	15	SALINA Daymaro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	04	POR-ISL	POR	16	GOMES Humberto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,116666667	0	0
Group Phase	04	POR-ISL	POR	22	BORGES Alexis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	51,76666667	-0,55	-1,062459755
Group Phase	04	POR-ISL	POR	23	BRANQUINHO Diogo	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	28,88333333	2,8	9,694171956
Group Phase	04	POR-ISL	POR	25	AREIA Antonio	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,75	1	12,90322581
Group Phase	04	POR-ISL	POR	27	GOMES Andre	0	0	0	1	0	0	3	1	0	1	0	0	1	2	2	0	0	0	0	0	0	0	38,13333333	-1,5	-3,933566434
Group Phase	04	POR-ISL	POR	30	FERNANDES Leonel	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	28,16666667	2,8	9,940828402
Group Phase	04	POR-ISL	POR	88	MAGALHAES Fabio	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	21,21666667	-0,5	-2,356637863
Group Phase	04	POR-ISL	ISL	7	KRISTJANSSON Viggo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	6,35	-0,75	-11,81102362
Group Phase	04	POR-ISL	ISL	8	ELISSON Bjarki Mar	4	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	57,88333333	3,7	6,392168154
Group Phase	04	POR-ISL	ISL	9	JONSSON Elvar Orn	0	0	1	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	1	0	0	48,81666667	1,05	2,150904746
Group Phase	04	POR-ISL	ISL	11	GISLASON Ymir Orn	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	40,3	0,2	0,496277916
Group Phase	04	POR-ISL	ISL	13	GUDMUNDSSON Olafur Andres	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	9,9	1	10,1010101
Group Phase	04	POR-ISL	ISL	14	MAGNUSSON Omar Ingi	1	1	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	2	1	0	28,55	-0,15	-0,525394046
Group Phase	04	POR-ISL	ISL	15	PETERSSON Alexander	0	0	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	0	1	1	1	0	28,61666667	0,35	1,223063483
Group Phase	04	POR-ISL	ISL	16	HALLGRIMSSON Viktor Gisli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22,4	0	0
Group Phase	04	POR-ISL	ISL	17	GUNNARSSON Arnor Thor	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	30	-1,5	-5
Group Phase	04	POR-ISL	ISL	18	KRISTJANSSON Gisli Thorgeir	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	19,58333333	3,9	19,91489362
Group Phase	04	POR-ISL	ISL	20	BJORGVINSSON Agust Eli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
Group Phase	04	POR-ISL	ISL	21	ARNARSSON Arnar Freyr	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	32,81666667	2,65	8,075165058
Group Phase	04	POR-ISL	ISL	22	GUDJONSSON Sigvaldi Bjorn	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	29,13333333	3,35	11,49885584
Group Phase	04	POR-ISL	ISL	23	GRETARSSON Oddur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	04	POR-ISL	ISL	29	VIDARSSON Ellidi Snaer	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	23,7	0,95	4,008438819
Group Phase	04	POR-ISL	ISL	33	SMARASON Janus Dadi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7,95	-2,4	-30,18867925
Group Phase	05	AUT-SUI	AUT	1	BAUER Thomas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,01666667	0	0
Group Phase	05	AUT-SUI	AUT	4	HERMANN Maximilian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	35,06666667	0,9	2,566539924
Group Phase	05	AUT-SUI	AUT	6	SCHMID Dominik	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	6,983333333	2,4	34,36754177
Group Phase	05	AUT-SUI	AUT	8	WEBER Robert	4	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	60	6,3	10,5
Group Phase	05	AUT-SUI	AUT	20	FRIMMEL Sebastian	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	55,63333333	0,5	0,898741762
Group Phase	05	AUT-SUI	AUT	24	DICKER Daniel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	05	AUT-SUI	AUT	26	HERBURGER Lukas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	41,41666667	-2,35	-5,674044266
Group Phase	05	AUT-SUI	AUT	28	ZEINER Gerald	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	35,68333333	-0,6	-1,681457263
Group Phase	05	AUT-SUI	AUT	30	ZIVKOVIC Boris	0	0	0	1	0	0	1	0	0	0	0	0	4	1	4	0	0	0	0	4	0	0	33,01666667	5,75	17,41544674
Group Phase	05	AUT-SUI	AUT	31	PRATSCHNER Julian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	05	AUT-SUI	AUT	40	EICHBERGER Thomas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28,91666667	0	0
Group Phase	05	AUT-SUI	AUT	55	WAGNER Tobias	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21,98333333	1,45	6,595905989
Group Phase	05	AUT-SUI	AUT	57	HUBER Balthasar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Group Phase	05	AUT-SUI	AUT	60	JOCHMANN Jakob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	6,166666667	-0,8	-12,97297297
Group Phase	05	AUT-SUI	AUT	72	HUTECEK Lukas	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	0	0	0	1	5	0	0	59,05	4,05	6,858594412
Group Phase	05	AUT-SUI	AUT	77	STEVANOVIC Nikola	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10,06666667	0,2	1,986754967
Group Phase	05	AUT-SUI	SUI	2	SCHMID Andy	2	1	0	0	0	1	0	0	0	0	1	0	4	4	1	0	0	0	0	4	0	0	59,51666667	6,6	11,08933072
Group Phase	05	AUT-SUI	SUI	4	RUBIN Lenny	0	0	0	0	0	0	1	0	0	0	0	0	5	4	0	0	0	0	2	2	0	0	41,63333333	5,6	13,45076061
Group Phase	05	AUT-SUI	SUI	6	TYNOWSKI Cedrie	0	0	1	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	50,66666667	6,65	13,125
Group Phase	05	AUT-SUI	SUI	8	SVAJLEN Michal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20,25	0	0
Group Phase	05	AUT-SUI	SUI	9	LIER Marvin	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	35,31666667	1,2	3,397829165
Group Phase	05	AUT-SUI	SUI	11	SIDOROWICZ Roman	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6,783333333	3,85	56,75675676
Group Phase	05	AUT-SUI	SUI	15	RAEMY Nicolas	0	0	0	1	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	4	0	0	37,38333333	-0,55	-1,47124387
